"";"artistid";"songid"
"1";2;156
"2";3;2
"3";3;3
"4";3;240
"5";3;299
"6";3;300
"7";3;301
"8";3;302
"9";3;304
"10";3;305
"11";3;306
"12";3;307
"13";3;308
"14";4;4
"15";4;5
"16";5;5
"17";6;6
"18";7;7
"19";8;8
"20";9;9
"21";9;219
"22";9;259
"23";10;10
"24";10;11
"25";11;12
"26";12;13
"27";13;14
"28";14;15
"29";15;16
"30";15;17
"31";16;17
"32";17;18
"33";18;19
"34";19;20
"35";20;21
"36";20;22
"37";20;23
"38";20;32
"39";20;266
"40";21;23
"41";22;24
"42";23;25
"43";24;26
"44";24;27
"45";24;28
"46";24;29
"47";25;30
"48";26;31
"49";26;32
"50";27;32
"51";27;182
"52";28;33
"53";29;34
"54";30;35
"55";30;190
"56";31;36
"57";32;37
"58";32;38
"59";32;39
"60";32;40
"61";32;279
"62";32;280
"63";32;281
"64";32;282
"65";32;283
"66";32;284
"67";32;285
"68";32;286
"69";32;287
"70";32;288
"71";33;41
"72";33;260
"73";34;42
"74";34;349
"75";34;350
"76";34;351
"77";34;352
"78";34;353
"79";34;354
"80";34;355
"81";34;356
"82";34;357
"83";34;358
"84";35;43
"85";35;44
"86";35;45
"87";36;46
"88";36;47
"89";37;47
"90";37;229
"91";38;229
"92";39;49
"93";40;50
"94";40;51
"95";41;52
"96";41;53
"97";41;54
"98";42;55
"99";42;56
"100";43;56
"101";44;57
"102";45;58
"103";45;59
"104";46;60
"105";46;61
"106";46;329
"107";46;330
"108";46;331
"109";46;332
"110";46;333
"111";46;334
"112";46;335
"113";46;336
"114";46;337
"115";46;338
"116";47;61
"117";48;62
"118";49;63
"119";50;64
"120";50;65
"121";51;66
"122";52;67
"123";53;68
"124";54;69
"125";54;70
"126";54;71
"127";54;72
"128";54;314
"129";54;315
"130";54;316
"131";54;318
"132";55;24
"133";55;72
"134";55;73
"135";55;75
"136";55;76
"137";56;77
"138";56;78
"139";57;79
"140";58;80
"141";58;137
"142";59;81
"143";60;82
"144";61;83
"145";61;459
"146";61;460
"147";61;461
"148";61;462
"149";61;463
"150";61;464
"151";61;465
"152";61;466
"153";61;467
"154";61;468
"155";62;84
"156";63;85
"157";64;86
"158";65;87
"159";65;88
"160";66;89
"161";66;92
"162";66;167
"163";66;433
"164";67;92
"165";67;94
"166";67;95
"167";67;96
"168";68;97
"169";69;98
"170";70;99
"171";71;100
"172";71;101
"173";72;102
"174";72;379
"175";72;380
"176";72;381
"177";72;382
"178";72;386
"179";72;387
"180";72;388
"181";73;103
"182";73;104
"183";73;105
"184";74;105
"185";74;252
"186";75;106
"187";76;107
"188";76;108
"189";77;109
"190";77;110
"191";77;111
"192";77;112
"193";77;175
"194";77;339
"195";77;340
"196";77;341
"197";77;342
"198";77;343
"199";77;345
"200";77;346
"201";77;347
"202";77;348
"203";77;444
"204";78;112
"205";78;113
"206";79;114
"207";79;115
"208";79;116
"209";79;117
"210";80;118
"211";81;119
"212";81;120
"213";81;121
"214";81;122
"215";81;183
"216";82;123
"217";83;124
"218";84;125
"219";85;126
"220";85;127
"221";86;127
"222";87;128
"223";88;129
"224";88;130
"225";88;131
"226";89;132
"227";89;133
"228";89;134
"229";89;173
"230";90;134
"231";91;136
"232";91;137
"233";91;138
"234";91;139
"235";91;409
"236";91;410
"237";91;411
"238";91;412
"239";91;413
"240";91;414
"241";91;415
"242";91;416
"243";91;417
"244";91;418
"245";92;140
"246";92;141
"247";93;141
"248";94;142
"249";95;143
"250";96;144
"251";96;145
"252";96;146
"253";96;268
"254";97;147
"255";98;148
"256";98;149
"257";98;150
"258";99;151
"259";100;152
"260";101;153
"261";102;154
"262";103;155
"263";103;156
"264";103;157
"265";103;158
"266";103;449
"267";103;450
"268";103;451
"269";103;452
"270";103;453
"271";103;454
"272";103;455
"273";103;456
"274";103;457
"275";103;458
"276";104;159
"277";104;160
"278";104;161
"279";104;218
"280";105;162
"281";105;163
"282";105;164
"283";106;165
"284";107;16
"285";107;166
"286";107;167
"287";107;198
"288";107;268
"289";107;269
"290";107;270
"291";107;272
"292";107;273
"293";107;274
"294";107;275
"295";107;278
"296";108;226
"297";111;85
"298";111;248
"299";111;252
"300";112;244
"301";112;250
"302";114;203
